Game,Team,ResultTitle,ShowInTrophyCabinet,PlacementLabel,PlacementMin,PlacementMax,Date,Players,Competition,SourceUrl,Notes
Rocket League,Karmine Corp,RLCS 2022-23 - World Championship,No,3rd - 4th,3,4,2023-08-13,Itachi; Vatira; ExoTiiK; Eversax,RLCS,,
Rocket League,Karmine Corp,RLCS 2022-23 - Spring Split Major,No,3rd,3,3,2023-07-09,Itachi; Vatira; ExoTiiK; Eversax,RLCS,,
Rocket League,Karmine Corp,RLCS 2021-22 - Spring: EU Regional Event 2 - Tour de Rocket League,No,3rd,3,3,2022-05-22,Itachi; AztraL; Noly; Eversax; Arleyobi,RLCS,,
Rocket League,Karmine Corp,Qualified - RLCS 2021-22 - Winter: EU Regional Event 3 - Closed Qualifier,No,3rd - 5th,3,5,2022-02-20,Stake; Itachi; AztraL; Arleyobi,RLCS,,
Rocket League,Karmine Corp,RLCS 2021-22 - Fall: EU Regional Event 1 - European Open,No,3rd - 4th,3,4,2021-10-24,Stake; Itachi; AztraL; Arleyobi,RLCS,,
Rocket League,Karmine Corp,Occitanie Esports 2021,No,3rd - 4th,3,4,2021-10-10,Stake; Itachi; AztraL; Arleyobi,Occitanie Esport,,
Street Fighter 6,Karmine Corp,Finalist - Kings of the World,No,#2,2,2,2024-12-15,Kilzyou,Kings of the World,,
Street Fighter 6,Karmine Corp,Qualified - CPT 2024 World Warrior: France-Monaco #4,No,#1,1,1,2024-10-27,Kilzyou,CPT World Warrior,,
Street Fighter 6,Karmine Corp,Qualified - CPT 2024 World Warrior: France-Monaco #3,No,#4,4,4,2024-09-22,Kilzyou,CPT World Warrior,,
Street Fighter 6,Karmine Corp,Qualified - CPT 2024 World Warrior: France-Monaco #2,No,#1,1,1,2024-07-28,Kilzyou,CPT World Warrior,,
